"","date","individual_ID","CEWL_g_m2h","msmt_temp_C","msmt_RH_percent"
"1",2021-04-23,"F-01",8.185,31.55,11.75
"2",2021-04-23,"F-02",15.45,33.55,16.75
"3",2021-04-23,"F-03",8.40333333333333,32.0333333333333,14.2
"4",2021-04-23,"F-04",9.20666666666667,25.0333333333333,26.0333333333333
"5",2021-04-23,"F-11",10.56,32.3,13.85
"6",2021-04-23,"F-12",0.59,32.3,13.5
"7",2021-04-23,"F-13",8.94,23.1333333333333,28.1666666666667
"8",2021-04-23,"M-01",0.905,30.75,16.3
"9",2021-04-23,"M-02",10.62,31.75,13.75
"10",2021-04-23,"M-03",9.255,33.1,14.05
"11",2021-04-23,"M-04",10.595,31.75,14.75
"12",2021-04-23,"M-05",2.065,32.05,14
"13",2021-04-23,"M-06",6.035,31.85,13.7
"14",2021-04-23,"M-07",6.77666666666667,25.7333333333333,24.8
"15",2021-04-23,"M-08",7.945,20.7,32.45
"16",2021-04-23,"M-11",11.455,31.65,16.05
"17",2021-04-23,"M-12",3.655,31.9,14.75
"18",2021-04-23,"M-13",6.855,31.55,14.7
"19",2021-04-23,"M-14",8.01,28,21.45
"20",2021-04-23,"M-15",9.73666666666667,27.3333333333333,22.4333333333333
"21",2021-04-23,"M-16",10.48,23.8,27.25
"22",2021-04-23,"M-17",8.405,20.05,34.2
"23",2021-04-23,"W-002",14.6,31.95,20.8
"24",2021-04-23,"W-003",9.61666666666667,32.9,15.4333333333333
"25",2021-04-23,"W-004",5.24,31.9,14.5666666666667
"26",2021-04-23,"W-005",4.41,30.65,14.55
"27",2021-04-24,"F-05",14.67,29.15,20.45
"28",2021-04-24,"F-06",13.64,30.25,18.75
"29",2021-04-24,"F-07",11.22,30.35,14.55
"30",2021-04-24,"F-08",6.97,30.1,17.05
"31",2021-04-24,"F-09",15.975,32.1,20.2
"32",2021-04-24,"F-10",15.495,33.5,16.85
"33",2021-04-24,"F-14",10.125,28.2,23.1
